suite,config,iteration,turn,expected,answer,match,reasoning_tokens,total_tokens,session_reasoning_parts,reasoning_observed,error
reasoning-retention,baseline,3,4,QRTZ,QRTZ,yes,0,21934,0,no,
reasoning-retention,candidate,1,1,READY,READY,yes,0,21811,0,no,
reasoning-retention,candidate,1,2,HOLD,HOLD,yes,0,21850,0,no,
reasoning-retention,candidate,1,3,^[A-Z]{4}$,QZRT,yes,0,21893,0,no,
reasoning-retention,candidate,1,4,QZRT,QZRT,yes,0,21932,0,no,
reasoning-retention,candidate,2,1,READY,READY,yes,0,21811,0,no,
reasoning-retention,candidate,2,2,HOLD,HOLD,yes,0,21850,0,no,
reasoning-retention,candidate,2,3,^[A-Z]{4}$,KQRT,yes,0,21893,0,no,
reasoning-retention,candidate,2,4,KQRT,KQRT,yes,0,21932,0,no,
reasoning-retention,candidate,3,1,READY,READY,yes,0,21811,0,no,
reasoning-retention,candidate,3,2,HOLD,HOLD,yes,0,21850,0,no,
reasoning-retention,candidate,3,3,^[A-Z]{4}$,QXZF,yes,0,21893,0,no,
reasoning-retention,candidate,3,4,QXZF,QXZF,yes,0,21932,0,no,
